symbol,scan_time,entry_time,exit_time,side,score,entry,exit,filled_orders,full_position,notional,pnl,pnl_pct_on_notional,peak_favorable_pct,exit_reason,adx,range_pct,volume_ratio,atr_expansion
TUTUSDT,2026-04-16 20:00,2026-04-16 20:10,2026-04-17 02:00,LONG,72.5563084163558,0.012419481856020069,0.0123,10,True,1000.0,-9.6205185856568,-0.0096205185856568,0.1071315341013999,profit-giveback,57.910436562224376,11.538461538461537,1.9239554123920002,1.1872208279030174
CARVUSDT,2026-04-17 02:00,2026-04-17 02:05,2026-04-17 07:30,LONG,92.27558316498377,0.06022068355641235,0.06039,10,True,1000.0,2.8115994968579114,0.0028115994968579113,0.03502644471997281,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,46.81514435951978,6.588950836289915,2.334397403644335,1.6690915825399049
USTCUSDT,2026-04-17 03:00,2026-04-17 03:10,2026-04-18 07:10,LONG,80.65446653510298,0.005785620888024574,0.005866,10,True,1000.0,13.892910291063004,0.013892910291063003,0.039646412444722924,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,37.00559390995117,5.974842767295587,3.277935824885315,1.2820050141516082
1000000BOBUSDT,2026-04-17 05:00,2026-04-17 07:05,2026-04-17 09:45,LONG,75.78543296175731,0.01591081692171698,0.01615,10,True,1000.0,15.032733985931124,0.015032733985931124,0.07976856779432176,profit-giveback,47.2886354382376,8.829300196206674,2.4318188727728764,1.2950469884537372
DIAUSDT,2026-04-17 07:00,2026-04-17 07:05,2026-04-17 07:50,LONG,74.0641309642849,0.19416685942790968,0.2021,10,True,1000.0,40.857335775345035,0.04085733577534503,0.10471993331920586,profit-giveback,46.92230412842573,5.8701298701298725,4.4655253146028295,1.2401216377675603
NFPUSDT,2026-04-17 08:00,2026-04-17 09:55,2026-04-18 03:40,LONG,74.12825939789319,0.015201313616388412,0.01555,10,True,1000.0,22.937911315484726,0.022937911315484727,0.03543683113220132,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,46.928995379276536,5.898123324396776,5.527284104496395,1.2302543826223216
AVAAIUSDT,2026-04-17 14:00,2026-04-18 00:55,2026-04-18 04:45,LONG,80.5262547354661,0.00985842301653287,0.01052,10,True,1000.0,67.1077901970371,0.06710779019703711,0.09013378528969176,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,53.32216678937706,12.231336309832832,1.6226049211318485,1.5916896225438557
MITOUSDT,2026-04-17 14:00,2026-04-18 02:35,2026-04-18 07:45,LONG,71.16059450799843,0.039402117692109655,0.04029,10,True,1000.0,22.53387279405403,0.02253387279405403,0.032431817951405296,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,52.823601366313014,4.395036194415719,1.4665277543108777,1.470561231234083
IOUSDT,2026-04-17 20:00,2026-04-18 06:15,2026-04-18 07:20,LONG,70.1191035827247,0.12542131303687917,0.1262,10,True,1000.0,6.208569694146535,0.006208569694146535,0.036506450556569314,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,28.550719889193463,7.437348423605497,3.9861721626473545,1.2392909459375423
FLOCKUSDT,2026-04-18 01:00,2026-04-18 10:05,2026-04-19 03:10,SHORT,75.20331553893242,0.06000813747291009,0.05837,10,True,1000.0,27.29858885637981,0.02729858885637981,0.038963673451215056,full-position-dynamic-tp: kline weakness: no-new-low + shadow/ema-reclaim,53.51094870902826,5.727579014920567,40.43627919484498,1.4204594389879384
